"CODIGO","DESCRIPCION"
"H45","H00-H59,H43-H45,,,,Trastornos del cuerpo vítreo y del globo ocular en enfermedades clasificadas en otra parte,2"
"H40","H00-H59,H40-H42,,,,Glaucoma,2"
"H42","H00-H59,H40-H42,,,,Glaucoma en enfermedades clasificadas en otra parte,2"
"H30","H00-H59,H30-H36,,,,Inflamación coriorretiniana,2"
"H31","H00-H59,H30-H36,,,,Otros trastornos de la coroides,2"
"H32","H00-H59,H30-H36,,,,Trastornos coriorretinianos en enfermedades clasificadas en otra parte,2"
"T08-T14","S00-T88,,,,,""Traumatismos de parte no especificada del tronco, miembro o región del cuerpo"",1"
"T15-T19","S00-T88,,,,,Efectos de cuerpos extraños que penetran por orificios naturales,1"
"T20-T32","S00-T88,,,,,Quemaduras y corrosiones,1"
"T33-T35","S00-T88,,,,,Congelamiento,1"
"T36-T50","S00-T88,,,,,""Envenenamiento por drogas, medicamentos y sustancias biológicas"",1"
"T51-T65","S00-T88,,,,,Efectos tóxicos de sustancias de procedencia principalmente no medicinal,1"
"T66-T78","S00-T88,,,,,Otros efectos y los no especificados de causas externas,1"
"T79","S00-T88,,,,,""Algunas complicaciones precoces de traumatismos, no clasificadas en otra parte"",1"
"T80-T88","S00-T88,,,,,""Complicaciones de la atención médica y quirúrgica, no clasificadas en otra parte"",1"
"H25","H00-H59,H25-H28,,,,Catarata senil,2"
"H26","H00-H59,H25-H28,,,,Otras cataratas,2"
"H27","H00-H59,H25-H28,,,,Otros trastornos del cristalino,2"
"H28","H00-H59,H25-H28,,,,Catarata y otros trastornos del cristalino en enfermedades clasificadas en otra parte,2"
"Z40-Z54","Z00-Z99,,,,,Personas en contacto con los servicios de salud para procedimientos específicos y cuidados de salud,1"
"Z55-Z65","Z00-Z99,,,,,""Personas con riesgos potenciales para su salud, relacionados con circunstancias socioeconómicas y psicosociales"",1"
"Z70-Z76","Z00-Z99,,,,,Personas en contacto con los servicios de salud por otras circunstancias,1"
"Z80-Z99","Z00-Z99,,,,,""Personas con riesgos potenciales para su salud, relacionados con su historia familiar y personal, y algunas condiciones que influyen sobre su estado de salud"",1"
"G20","G00-G99,G20-G26,,,,Enfermedad de Parkinson,2"
"G21","G00-G99,G20-G26,,,,Parkinsonismo secundario,2"
"G22","G00-G99,G20-G26,,,,Parkinsonismo en enfermedades clasificadas en otra parte,2"
"G23","G00-G99,G20-G26,,,,Otras enfermedades degenerativas de los núcleos de la base,2"
"G24","G00-G99,G20-G26,,,,Distonía,2"
"G25","G00-G99,G20-G26,,,,Otros trastornos extrapiramidales y del movimiento,2"
"G10","G00-G99,G10-G13,,,,Enfermedad de Huntington,2"
"G11","G00-G99,G10-G13,,,,Ataxia hereditaria,2"
"G12","G00-G99,G10-G13,,,,Atrofia muscular espinal y síndromes afines,2"
"G13","G00-G99,G10-G13,,,,Atrofias sistémicas que afectan primariamente el sistema nervioso central en enfermedades clasificadas en otra parte,2"
"G00","G00-G99,G00-G09,,,,""Meningitis bacteriana, no clasificada en otra parte"",2"
"G01","G00-G99,G00-G09,,,,Meningitis en enfermedades bacterianas clasificadas en otra parte,2"
"G02","G00-G99,G00-G09,,,,Meningitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte,2"
"G03","G00-G99,G00-G09,,,,Meningitis debida a otras causas y a las no especificadas,2"
"G04","G00-G99,G00-G09,,,,""Encefalitis, mielitis y encefalomielitis"",2"
"G05","G00-G99,G00-G09,,,,""Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas en otra parte"",2"
"S30","S00-T88,S30-S39,,,,""Traumatismo superficial del abdomen, de la región lumbosacra y de la pelvis"",2"
"S31","S00-T88,S30-S39,,,,""Herida del abdomen, de la región lumbosacra y de la pelvis"",2"
"S20","S00-T88,S20-S29,,,,Traumatismo superficial del tórax,2"
"S21","S00-T88,S20-S29,,,,Herida del tórax,2"
"S22","S00-T88,S20-S29,,,,""Fractura de las costillas, del esternón y de la columna torácica [dorsal]"",2"
"S23","S00-T88,S20-S29,,,,""Luxación, esguince y torcedura de articulaciones y ligamentos del tórax"",2"
"S24","S00-T88,S20-S29,,,,Traumatismo de nervios y de la médula espinal a nivel del tórax,2"
"S10","S00-T88,S10-S19,,,,Traumatismo superficial del cuello,2"
"S11","S00-T88,S10-S19,,,,Herida del cuello,2"
"S12","S00-T88,S10-S19,,,,Fractura del cuello,2"
"S00","S00-T88,S00-S09,,,,Traumatismo superficial de la cabeza,2"
"S01","S00-T88,S00-S09,,,,Herida de la cabeza,2"
"S02","S00-T88,S00-S09,,,,Fractura de huesos del cráneo y de la cara,2"
"S03","S00-T88,S00-S09,,,,""Luxación, esguince y torcedura de articulaciones y de ligamentos de la cabeza"",2"
"S04","S00-T88,S00-S09,,,,Traumatismo de nervios craneales,2"
"F90","F01-F99,F90-F98,,,,Trastornos hipercinéticos,2"
"F91","F01-F99,F90-F98,,,,Trastornos de la conducta,2"
"F92","F01-F99,F90-F98,,,,Trastornos mixtos de la conducta y de las emociones,2"
"F93","F01-F99,F90-F98,,,,Trastornos emocionales de comienzo específico en la niñez,2"
"F94","F01-F99,F90-F98,,,,Trastornos del comportamiento social de comienzo específico en la niñez y en la adolescencia,2"
"F95","F01-F99,F90-F98,,,,Trastornos por tics,2"
